spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
4Ndjd6DhKIC5IPoBIrMQuX,Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",34,-2,-4,MX,2025-02-17,84,True,198607,Ese Vato No Te Queda,2024-10-24,0.748,0.74,7,-3.643,0,0.0387,0.0292,0.000109,0.087,0.618,117.955,4,About_Average
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,35,-2,-2,MX,2025-02-17,92,True,156364,DeBÍ TiRAR MáS FOToS,2025-01-05,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,Lower
1pn82sWTAmrP709W07VImY,Gallos Y Caballos,"Grupo Maximo Grado, Natanael Cano",36,-1,-5,MX,2025-02-17,76,True,158543,Gallos Y Caballos,2025-01-30,0.779,0.921,10,-2.778,1,0.0543,0.202,0.0,0.29,0.929,113.407,3,Higher
4JLZyyWuvvse6xKiZqRdau,Todo a Su Tiempo,Neton Vega,37,-1,-12,MX,2025-02-17,78,False,238240,Todo a Su Tiempo,2024-09-27,0.801,0.884,4,-6.039,0,0.0828,0.751,0.00219,0.0558,0.87,137.944,3,Higher
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",38,-4,-1,MX,2025-02-17,98,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,Lower
1V14rt4SEpMU1wCdmGz6eB,Me Ha Costado,"Neton Vega, Alemán, Victor Mendivil",39,1,11,MX,2025-02-17,65,False,216000,Mi Vida Mi Muerte,2025-02-14,0.792,0.779,2,-3.248,1,0.223,0.31,5.8e-06,0.515,0.756,89.943,4,Higher
2JJdNXpiCQoAeLQvVMpIEh,Yo Vengo De La Nada,"Juan Freer, miguel cornejo",40,1,-1,MX,2025-02-17,77,False,156807,Yo Vengo De La Nada,2024-12-20,0.758,0.834,4,-6.089,0,0.0391,0.351,0.0,0.111,0.781,129.88,3,About_Average
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",41,-2,-14,MX,2025-02-17,87,False,206066,Cosa Nuestra,2024-11-15,0.687,0.627,7,-4.975,1,0.181,0.326,0.0,0.0893,0.47,155.865,4,Higher
4ZOkfHC38nxSeSqzGE5HFr,PIÉNSALO,Junior H,42,4,-10,MX,2025-02-17,81,True,240669,$AD BOYZ 4 LIFE II,2023-10-05,0.716,0.536,2,-7.798,0,0.0328,0.452,0.0,0.208,0.359,97.541,3,Lower
51qYdMBxt9mFbtZBzq1Yfi,Regalo De Dios,Julión Álvarez y su Norteño Banda,43,0,4,MX,2025-02-17,80,False,185933,PRESENTE,2023-11-17,0.792,0.516,4,-6.097,0,0.027,0.197,0.0,0.0855,0.916,108.939,4,About_Average
