spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",1,1,6,CA,2025-02-16,90,False,177598,GNX,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,About_Average
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,2,2,8,CA,2025-02-16,92,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Higher
5Nz7hI3cCOHmMR4vSLJ1An,GIMME A HUG,Drake,3,0,47,CA,2025-02-16,74,True,193054,$ome $exy $ongs 4 U,2025-02-14,0.457,0.671,1,-5.53,1,0.0979,0.0643,0.0,0.0772,0.245,142.95,4,About_Average
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",4,10,27,CA,2025-02-16,90,True,232186,Black Panther The Album Music From And Inspired By,2018-02-09,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,About_Average
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",5,8,8,CA,2025-02-16,92,True,220690,GNX,2024-11-22,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,Higher
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",6,12,-5,CA,2025-02-16,98,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,Lower
4u43I0LP2Xf85OAS85eG0R,CN TOWER,"PARTYNEXTDOOR, Drake",7,-6,43,CA,2025-02-16,75,True,241889,$ome $exy $ongs 4 U,2025-02-14,0.672,0.412,3,-7.057,0,0.194,0.318,0.0,0.131,0.217,126.921,4,Lower
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,8,3,42,CA,2025-02-16,72,True,241023,$ome $exy $ongs 4 U,2025-02-14,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4,About_Average
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",9,14,-7,CA,2025-02-16,90,False,169917,rosie,2024-12-06,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,Higher
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",10,9,40,CA,2025-02-16,71,True,195431,$ome $exy $ongs 4 U,2025-02-14,0.763,0.531,11,-6.154,1,0.0328,0.146,0.0,0.175,0.665,110.497,4,Higher
7DL2F2bueQycqYjqsjHYjG,MOTH BALLS,"PARTYNEXTDOOR, Drake",11,-6,39,CA,2025-02-16,73,True,212629,$ome $exy $ongs 4 U,2025-02-14,0.513,0.461,1,-7.951,1,0.182,0.391,0.0,0.0995,0.194,95.551,4,About_Average
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,12,12,-9,CA,2025-02-16,80,False,258034,The Rise and Fall of a Midwest Princess,2023-09-21,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,About_Average
4JeD0FGslDsMeeahEGZa2L,DEEPER,PARTYNEXTDOOR,13,-5,37,CA,2025-02-16,73,True,172337,$ome $exy $ongs 4 U,2025-02-14,0.431,0.534,7,-7.302,0,0.094,0.0965,0.0,0.0629,0.322,100.581,4,Lower
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,14,11,-8,CA,2025-02-16,96,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,About_Average
1F6nHHDJyTHLgDDFj1ZZDt,SOMETHING ABOUT YOU,"PARTYNEXTDOOR, Drake",15,-9,35,CA,2025-02-16,73,True,218682,$ome $exy $ongs 4 U,2025-02-14,0.51,0.491,7,-8.869,0,0.1,0.24,2.73e-05,0.359,0.0792,136.093,4,Lower
2kZoOj1n5vk9BuF0sih58M,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",16,-1,34,CA,2025-02-16,72,True,182767,$ome $exy $ongs 4 U,2025-02-14,0.365,0.511,9,-6.14,1,0.0905,0.514,0.0,0.702,0.222,77.029,3,Lower
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,17,9,-9,CA,2025-02-16,94,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,About_Average
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",18,10,-14,CA,2025-02-16,83,True,256000,Hurry Up Tomorrow,2025-01-31,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,Lower
5aIEFCKhVUM5sKkwOSdFiM,CRYING IN CHANEL,Drake,19,-12,31,CA,2025-02-16,73,True,199602,$ome $exy $ongs 4 U,2025-02-14,0.6,0.411,2,-9.139,1,0.0719,0.224,0.000159,0.0997,0.119,113.327,4,Lower
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,20,11,-8,CA,2025-02-16,87,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,Lower
4GqhG9rDuRUoNyDSMJ0Brq,SPIDER-MAN SUPERMAN,"PARTYNEXTDOOR, Drake",21,-12,29,CA,2025-02-16,72,True,203893,$ome $exy $ongs 4 U,2025-02-14,0.453,0.52,11,-9.146,1,0.0637,0.658,4.24e-06,0.118,0.111,111.035,4,Lower
1YHQQFtKqFSFrqL4cNvstU,SMALL TOWN FAME,Drake,22,-12,28,CA,2025-02-16,72,True,148509,$ome $exy $ongs 4 U,2025-02-14,0.842,0.524,1,-6.031,0,0.305,0.443,9.74e-06,0.303,0.354,100.002,4,Lower
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,23,6,7,CA,2025-02-16,89,True,157992,GNX,2024-11-22,0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,4,Higher
0b0Dz0Gi86SVdBxYeiQcCP,Busy Woman,Sabrina Carpenter,24,-2,26,CA,2025-02-16,74,True,186612,Short n' Sweet (Deluxe),2025-02-14,0.727,0.755,7,-5.152,1,0.036,0.17,0.0,0.101,0.903,117.015,4,Higher
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,25,14,-9,CA,2025-02-16,81,True,171291,"Where I've Been, Isn't Where I'm Going",2024-05-31,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,4,About_Average
3FHO87BSOEVAsedSnCTnvz,BRIAN STEEL,Drake,26,-14,24,CA,2025-02-16,71,True,111406,$ome $exy $ongs 4 U,2025-02-14,0.761,0.557,4,-7.98,0,0.171,0.0971,0.000118,0.214,0.474,146.971,4,Lower
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,27,10,-13,CA,2025-02-16,86,True,284066,This Wasn't Meant For You Anyway,2024-06-21,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4,Higher
2xxb5zW09uwbgyLprALi9E,RAINING IN HOUSTON,Drake,28,-11,22,CA,2025-02-16,71,True,244931,$ome $exy $ongs 4 U,2025-02-14,0.465,0.534,7,-6.316,0,0.0546,0.788,0.0,0.0992,0.439,119.173,4,Lower
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,29,9,-18,CA,2025-02-16,92,False,218423,"Good Luck, Babe!",2024-04-05,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,Lower
4cwyp1aL1q3LfGCteqe8tL,PIMMIE'S DILEMMA,"Pim, PARTYNEXTDOOR, Drake",30,-14,20,CA,2025-02-16,39,False,118153,$ome $exy $ongs 4 U,2025-02-13,0.73,0.223,11,-8.423,1,0.0462,0.944,0.000895,0.109,0.247,129.776,4,Lower
6IcD1PElC3dJof2jY3n3Yt,MEET YOUR PADRE,"PARTYNEXTDOOR, Drake, Chino Pacas",31,-10,19,CA,2025-02-16,36,False,271058,$ome $exy $ongs 4 U,2025-02-13,0.71,0.596,11,-8.555,0,0.0525,0.667,2.22e-05,0.11,0.716,127.523,4,Higher
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,32,4,-17,CA,2025-02-16,89,True,159586,Alligator Bites Never Heal,2024-08-30,0.825,0.644,6,-3.24,0,0.33,0.0905,0.0,0.0795,0.622,93.292,4,Lower
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,33,7,-14,CA,2025-02-16,92,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4,Higher
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,34,10,-12,CA,2025-02-16,87,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,About_Average
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",35,15,-15,CA,2025-02-16,82,True,178205,F-1 Trillion,2024-08-15,0.644,0.874,0,-4.723,1,0.0265,0.0113,0.0,0.227,0.753,128.017,4,Higher
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,36,-1,-31,CA,2025-02-16,90,False,223398,Abracadabra,2025-02-03,0.68,0.909,10,-3.487,0,0.0624,0.0121,0.0,0.222,0.633,126.004,4,Lower
2vjFTjmvpFjFM01cNdG2ik,LASERS,"PARTYNEXTDOOR, Drake",37,-17,13,CA,2025-02-16,70,True,198692,$ome $exy $ongs 4 U,2025-02-14,0.546,0.494,0,-4.707,0,0.0748,0.636,0.0,0.118,0.182,119.458,4,Lower
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,38,3,-11,CA,2025-02-16,89,False,157279,Short n' Sweet,2024-08-23,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,Higher
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",39,3,1,CA,2025-02-16,87,True,278276,SOS Deluxe: LANA,2024-12-20,0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4,Higher
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,40,10,-17,CA,2025-02-16,88,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,Lower
3HlWVKwU0JqJXqJK9DWHnZ,I'm The Problem,Morgan Wallen,41,6,-24,CA,2025-02-16,82,False,177811,I'm The Problem,2025-01-31,0.545,0.752,5,-4.989,0,0.0364,0.665,4.3e-06,0.0993,0.491,92.038,1,Lower
2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,42,3,-24,CA,2025-02-16,87,False,165045,Sports car,2025-01-24,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4,Higher
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,43,0,-19,CA,2025-02-16,81,False,186964,Ordinary,2025-02-07,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51e-06,0.0562,0.382,112.252,4,Higher
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,44,6,6,CA,2025-02-16,85,True,177000,DAMN.,2017-04-14,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,Lower
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,45,1,-36,CA,2025-02-16,88,True,224136,Hurry Up Tomorrow,2025-01-31,0.647,0.645,7,-6.425,0,0.0303,0.0871,0.0,0.671,0.422,120.098,4,Lower
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,46,3,-25,CA,2025-02-16,92,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,Lower
578CwfxpfH2HxlENOCHc2n,CELIBACY,"PARTYNEXTDOOR, Drake",47,-20,3,CA,2025-02-16,68,True,235620,$ome $exy $ongs 4 U,2025-02-14,0.486,0.357,7,-9.69,0,0.045,0.352,0.0,0.0898,0.15,120.133,4,Lower
2WNUYpLeOSMSlWgOmgGURl,GREEDY,"PARTYNEXTDOOR, Drake",48,-15,2,CA,2025-02-16,40,False,386165,$ome $exy $ongs 4 U,2025-02-13,0.362,0.366,8,-8.031,0,0.0312,0.896,4.7e-05,0.142,0.147,131.759,4,Lower
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,49,1,-23,CA,2025-02-16,84,False,204828,Love Somebody,2024-10-18,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,4,Lower
775a936b2Vzl3fw86FaVat,OMW,"PARTYNEXTDOOR, Drake",50,-20,0,CA,2025-02-16,68,True,233030,$ome $exy $ongs 4 U,2025-02-14,0.387,0.55,5,-5.568,1,0.031,0.102,1.73e-05,0.117,0.123,144.11,4,Lower
