spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,11,0,-1,US,2024-07-10,89,False,251424,Unreal Unearth: Unheard,2024-03-22,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,Higher
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,12,0,-3,US,2024-07-10,88,False,184841,The Rise and Fall of a Midwest Princess,2023-09-22,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,4,Higher
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,13,2,-1,US,2024-07-10,89,False,194920,Pink Skies,2024-05-24,0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,4,Lower
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,14,0,-3,US,2024-07-10,90,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,Lower
22DH8NChecsgPxDjA4pqer,Tough,"Quavo, Lana Del Rey",15,1,35,US,2024-07-10,83,False,188828,Tough,2024-07-03,0.582,0.557,8,-7.981,0,0.101,0.452,1.87e-05,0.121,0.211,84.989,4,Lower
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",16,-3,-2,US,2024-07-10,88,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,Lower
2tudvzsrR56uom6smgOcSf,Like That,"Future, Metro Boomin, Kendrick Lamar",17,1,-2,US,2024-07-10,90,True,267706,WE DON'T TRUST YOU,2024-03-22,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,4,Higher
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,18,-1,-5,US,2024-07-10,86,True,130944,DEVIL IS A LIE,2024-06-14,0.904,0.452,9,-7.272,1,0.132,0.174,0.0,0.115,0.613,90.026,4,Higher
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,19,3,-3,US,2024-07-10,95,False,179586,HIT ME HARD AND SOFT,2024-05-17,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4,Higher
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",20,8,5,US,2024-07-10,91,False,228965,THE TORTURED POETS DEPARTMENT,2024-04-18,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4,Higher
